idfield;cropseason;village;soil;area;tillagesystem;CAyear;sowdate;x24d;glypho;manure;urea;npk;nitrogen;rainsow;rainflow;raincycle;rainyear;yield
F2007080321;Y07_08;Antsahamamy;hillside;38.3;till;Y0;2007-12-23;N;N;2351.7;55.0;0.0;25.3;118.0;54.3;789.0;875.4;1575.6
F2007080326;Y07_08;Antsahamamy;hillside;2.0;till;Y0;2008-01-07;N;N;1500.0;0.0;0.0;0.0;43.1;15.1;713.4;875.4;1000.0
F2007080331;Y07_08;Antsahamamy;hillside;15.4;ca;Y2;2007-12-27;N;N;1949.3;0.0;0.0;0.0;109.8;52.5;755.5;875.4;1462.0
F2007080332;Y07_08;Antsahamamy;hillside;6.0;ca;Y1;2007-12-28;N;N;3000.0;0.0;100.0;11.0;109.8;52.5;755.0;875.4;2300.0
F2007080335;Y07_08;Antsahamamy;hillside;112.0;ca;Y1;2007-11-21;N;N;1785.7;35.7;53.6;22.318;24.4;203.4;836.5;875.4;1250.0
F2007080336;Y07_08;Antsahamamy;hillside;88.0;ca;Y1;2007-11-26;N;N;2045.5;11.4;45.5;10.249;0.0;174.1;836.5;875.4;2100.0
F2007080337;Y07_08;Antsahamamy;lowland;50.0;till;Y0;2007-12-15;N;N;3400.0;0.0;0.0;0.0;47.5;97.2;836.5;875.4;780.0
F2007080338;Y07_08;Antsahamamy;hillside;54.0;till;Y0;2008-01-10;N;N;2963.0;0.0;0.0;0.0;40.2;15.1;682.9;875.4;1666.7
F2007080340;Y07_08;Antsahamamy;hillside;32.0;till;Y0;2007-12-23;N;N;2500.0;50.0;100.0;34.0;118.0;54.3;789.0;875.4;1125.0
F2007080341;Y07_08;Antsahamamy;hillside;32.0;till;Y0;2008-01-06;N;N;3500.0;50.0;0.0;23.0;45.6;15.1;713.4;875.4;2812.5
F2007080343;Y07_08;Antsahamamy;hillside;17.7;ca;Y1;2007-12-29;N;Y;2820.1;67.7;157.9;48.511;110.6;67.6;725.5;875.4;2797.5
F2007080344;Y07_08;Antsahamamy;hillside;4.0;till;Y0;2007-12-28;N;N;7500.0;75.0;30.0;37.8;109.8;52.5;755.0;875.4;2500.0
F2007080345;Y07_08;Antsahamamy;hillside;3.5;till;Y0;2007-12-28;N;N;7142.9;85.7;30.0;42.722;109.8;52.5;755.0;875.4;2114.3
F2007080347;Y07_08;Antsahamamy;hillside;4.0;till;Y0;2007-12-26;N;N;3000.0;87.5;123.0;53.78;109.8;52.5;770.5;875.4;3200.0
F2007080348;Y07_08;Antsahamamy;lowland;20.0;till;Y0;2007-12-28;N;N;1250.0;0.0;0.0;0.0;109.8;52.5;755.0;875.4;1000.0
F2007080349;Y07_08;Antsahamamy;lowland;15.0;till;Y0;2007-12-27;N;N;1333.3;0.0;0.0;0.0;109.8;52.5;755.5;875.4;3200.0
F2007080350;Y07_08;Antsahamamy;hillside;26.0;till;Y0;2007-12-28;N;N;3000.0;0.0;0.0;0.0;109.8;52.5;755.0;875.4;2307.7
F2007080352;Y07_08;Antsahamamy;hillside;10.5;ca;Y2;2007-12-24;N;N;3802.3;71.3;0.0;32.798;122.3;53.3;789.0;875.4;1354.6
F2007080353;Y07_08;Antsahamamy;hillside;43.3;ca;Y2;2007-12-31;Y;N;4046.2;0.0;0.0;0.0;76.6;66.6;718.5;875.4;1889.0
F2007080354;Y07_08;Antsahamamy;hillside;29.8;ca;Y2;2007-12-27;N;N;2015.5;50.0;30.0;26.3;109.8;52.5;755.5;875.4;1665.6
F2007080355;Y07_08;Antsahamamy;hillside;18.4;ca;Y2;2007-12-27;N;N;1998.9;0.0;0.0;0.0;109.8;52.5;755.5;875.4;1998.9
F2007080356;Y07_08;Antsahamamy;hillside;15.8;ca;Y3;2007-12-27;Y;N;1580.3;0.0;0.0;0.0;109.8;52.5;755.5;875.4;2876.1
F2007080359;Y07_08;Antsahamamy;lowland;57.0;ca;Y2;2007-12-20;Y;N;3156.2;78.9;136.8;51.342;81.5;82.0;824.0;875.4;2249.7
F2007080360;Y07_08;Antsahamamy;hillside;20.0;till;Y0;2008-01-05;N;N;2750.0;75.0;150.0;51.0;50.1;15.1;714.2;875.4;3375.0
F2007080361;Y07_08;Antsahamamy;hillside;35.5;ca;Y2;2007-11-22;N;N;1974.6;70.5;126.9;46.389;24.4;261.0;836.5;875.4;2702.4
F2007080362;Y07_08;Antsahamamy;hillside;14.0;ca;Y1;2008-01-06;N;Y;3500.0;57.1;150.0;42.766;45.6;15.1;713.4;875.4;2400.0
F2007080368;Y07_08;Antsahamamy;hillside;30.0;ca;Y1;2007-12-02;N;N;1500.0;0.0;26.7;2.937;0.0;395.9;836.5;875.4;2506.7
F2007080369;Y07_08;Antsahamamy;hillside;45.5;ca;Y2;2007-11-23;N;N;1978.0;33.0;54.9;21.219;24.4;259.3;836.5;875.4;2518.7
F2007080370;Y07_08;Antsahamamy;hillside;6.2;ca;Y2;2008-01-03;N;N;3225.8;32.3;80.6;23.724;80.1;15.1;714.2;875.4;1096.8
F2007080372;Y07_08;Antsahamamy;hillside;17.4;ca;Y2;2007-11-15;N;N;2580.3;45.9;143.3;36.877;24.4;166.4;845.8;875.4;3199.5
F2007080373;Y07_08;Antsahamamy;hillside;22.6;ca;Y2;2007-11-20;N;N;2476.8;26.5;88.5;21.925;24.4;170.4;836.5;875.4;2804.1
F2007080374;Y07_08;Antsahamamy;hillside;20.0;ca;Y1;2008-01-08;N;Y;5000.0;90.0;150.0;57.9;38.8;15.1;712.4;875.4;1200.0
F2007080375;Y07_08;Ambohimiarina;lowland;10.0;till;Y0;2007-12-26;N;Y;4000.0;0.0;80.0;8.8;167.6;41.8;931.0;1062.2;1930.0
F2007080376;Y07_08;Ambohimiarina;lowland;22.0;ca;Y1;2007-12-17;Y;Y;0.0;45.5;0.0;20.93;91.6;71.4;1021.0;1062.2;1876.1
F2007080377;Y07_08;Ambohimiarina;lowland;10.0;till;Y0;2007-12-31;N;Y;5000.0;50.0;0.0;23.0;144.8;43.8;857.2;1062.2;2640.0
F2007080378;Y07_08;Ambohimiarina;lowland;20.0;till;Y0;2007-12-18;Y;Y;3250.0;0.0;75.0;8.25;91.6;72.0;990.6;1062.2;2740.0
F2007080381;Y07_08;Ambohimiarina;lowland;5.0;ca;Y1;2007-12-14;Y;Y;0.0;0.0;0.0;0.0;44.0;182.2;1020.8;1062.2;2320.0
F2007080382;Y07_08;Ambohimiarina;lowland;5.0;ca;Y1;2007-12-22;N;Y;0.0;60.0;0.0;27.6;154.0;53.8;978.6;1062.2;2860.0
F2007080383;Y07_08;Ambohimiarina;lowland;30.0;ca;Y1;2007-12-18;Y;Y;3333.3;0.0;0.0;0.0;91.6;72.0;990.6;1062.2;987.0
F2007080384;Y07_08;Ambohimiarina;lowland;31.5;till;Y0;2007-12-26;Y;N;3968.3;38.1;0.0;17.526;167.6;41.8;931.0;1062.2;2965.1
F2007080385;Y07_08;Ambohimiarina;lowland;10.0;ca;Y1;2007-12-26;Y;Y;3000.0;0.0;0.0;0.0;167.6;41.8;931.0;1062.2;2180.0
F2007080386;Y07_08;Ambohimiarina;lowland;8.4;ca;Y3;2007-12-29;Y;Y;4761.9;0.0;0.0;0.0;162.6;45.0;870.8;1062.2;3392.9
F2007080387;Y07_08;Ambohimiarina;lowland;1.5;ca;Y1;2007-12-21;N;Y;6666.7;66.7;133.3;45.345;151.8;71.0;990.6;1062.2;2133.3
F2007080389;Y07_08;Ambohimiarina;lowland;2.7;ca;Y2;2007-12-29;N;N;0.0;18.5;0.0;8.51;162.6;45.0;870.8;1062.2;1333.3
F2007080390;Y07_08;Ambohimiarina;lowland;12.5;ca;Y3;2007-12-31;Y;N;4800.0;0.0;0.0;0.0;144.8;43.8;857.2;1062.2;3200.0
F2007080391;Y07_08;Ambohimiarina;lowland;7.3;ca;Y1;2007-12-17;Y;Y;0.0;48.3;0.0;22.218;91.6;71.4;1021.0;1062.2;2841.4
F2007080392;Y07_08;Ambohimiarina;lowland;12.8;ca;Y3;2007-12-28;Y;N;3515.6;0.0;0.0;0.0;169.0;40.6;926.6;1062.2;2679.7
F2007080393;Y07_08;Ambohimiarina;lowland;8.0;ca;Y1;2007-12-21;Y;Y;3750.0;0.0;0.0;0.0;151.8;71.0;990.6;1062.2;1208.0
F2007080394;Y07_08;Ambohimiarina;lowland;22.5;ca;Y1;2007-12-19;Y;Y;0.0;0.0;0.0;0.0;96.0;73.4;990.6;1062.2;3080.0
F2007080395;Y07_08;Ambohimiarina;lowland;6.5;ca;Y1;2008-01-05;N;N;0.0;0.0;0.0;0.0;170.4;5.4;824.4;1062.2;1130.0
F2007080396;Y07_08;Ambohimiarina;lowland;10.0;ca;Y1;2007-12-18;Y;N;0.0;0.0;0.0;0.0;91.6;72.0;990.6;1062.2;2640.0
F2007080397;Y07_08;Ambohimiarina;lowland;10.0;ca;Y1;2007-12-22;Y;N;0.0;0.0;0.0;0.0;154.0;53.8;978.6;1062.2;2500.0
F2007080398;Y07_08;Ambohimiarina;lowland;17.8;ca;Y3;2007-12-22;Y;Y;0.0;56.2;0.0;25.852;154.0;53.8;978.6;1062.2;1715.4
F2007080399;Y07_08;Ambohimiarina;lowland;17.0;ca;Y1;2008-01-02;Y;Y;0.0;58.8;0.0;27.048;228.6;8.6;825.0;1062.2;1880.0
F2007080400;Y07_08;Ambohimiarina;lowland;5.0;ca;Y1;2007-12-27;Y;Y;0.0;70.0;0.0;32.2;167.6;41.8;926.6;1062.2;2040.0
F2007080401;Y07_08;Ambohimiarina;lowland;5.4;till;Y0;2007-11-30;Y;N;0.0;37.4;0.0;17.204;2.2;230.8;1013.8;1062.2;2611.2
F2007080402;Y07_08;Ambohimiarina;lowland;5.6;ca;Y1;2007-12-31;Y;N;0.0;62.5;0.0;28.75;144.8;43.8;857.2;1062.2;2973.2
F2007080405;Y07_08;Ambohimiarina;lowland;5.3;ca;Y1;2007-12-28;Y;N;0.0;57.1;0.0;26.266;169.0;40.6;926.6;1062.2;2761.9
F2007080407;Y07_08;Ambohimiarina;lowland;4.0;ca;Y1;2007-12-21;N;Y;0.0;0.0;0.0;0.0;151.8;71.0;990.6;1062.2;1840.0
F2007080408;Y07_08;Ambohimiarina;lowland;3.3;till;Y0;2007-12-31;N;Y;0.0;30.8;0.0;14.168;144.8;43.8;857.2;1062.2;1280.0
F2007080409;Y07_08;Ambohimiarina;lowland;10.0;ca;Y1;2007-12-31;Y;Y;0.0;60.0;0.0;27.6;144.8;43.8;857.2;1062.2;3020.0
F2007080410;Y07_08;Ambohimiarina;lowland;4.0;ca;Y1;2007-12-22;N;N;5000.0;0.0;0.0;0.0;154.0;53.8;978.6;1062.2;2361.3
F2007080411;Y07_08;Ambohimiarina;lowland;19.0;ca;Y1;2007-12-30;Y;N;3947.4;0.0;0.0;0.0;146.4;44.0;868.8;1062.2;2000.0
F2007080412;Y07_08;Ambohimiarina;lowland;3.5;ca;Y1;2007-12-03;N;N;0.0;0.0;0.0;0.0;2.2;281.2;1017.8;1062.2;2814.3
F2007080413;Y07_08;Ambohimiarina;lowland;4.0;ca;Y1;2008-01-02;N;N;2500.0;0.0;0.0;0.0;228.6;8.6;825.0;1062.2;2407.0
F2007080414;Y07_08;Ambohimiarina;lowland;8.5;till;Y0;2007-12-18;N;N;0.0;0.0;0.0;0.0;91.6;72.0;990.6;1062.2;3464.7
F2007080415;Y07_08;Ambohimiarina;lowland;10.0;ca;Y1;2007-12-29;Y;Y;0.0;0.0;0.0;0.0;162.6;45.0;870.8;1062.2;2185.0
F2007080416;Y07_08;Ambohimiarina;lowland;10.0;till;Y0;2008-01-04;Y;Y;5000.0;0.0;0.0;0.0;226.2;5.4;825.0;1062.2;1660.0
F2007080417;Y07_08;Ambohimiarina;lowland;7.3;till;Y0;2007-12-31;Y;Y;0.0;0.0;0.0;0.0;144.8;43.8;857.2;1062.2;2551.7
F2007080418;Y07_08;Ambohimiarina;lowland;13.0;ca;Y1;2007-12-21;N;N;0.0;61.5;0.0;28.29;151.8;71.0;990.6;1062.2;2820.0
F2007080419;Y07_08;Ambohimiarina;lowland;3.5;ca;Y1;2007-12-30;N;N;0.0;28.6;0.0;13.156;146.4;44.0;868.8;1062.2;2628.6
F2007080420;Y07_08;Ambohimiarina;lowland;1.5;ca;Y1;2007-12-17;N;N;0.0;0.0;0.0;0.0;91.6;71.4;1021.0;1062.2;2866.7
F2007080421;Y07_08;Ambohimiarina;lowland;4.9;ca;Y1;2007-12-18;Y;N;0.0;40.7;61.0;25.432;91.6;72.0;990.6;1062.2;3663.6
F2007080422;Y07_08;Ambohimiarina;lowland;2.1;ca;Y1;2007-12-19;N;N;0.0;0.0;0.0;0.0;96.0;73.4;990.6;1062.2;3142.9
F2007080423;Y07_08;Ambohimiarina;lowland;5.0;ca;Y3;2007-11-30;N;Y;0.0;0.0;0.0;0.0;2.2;230.8;1013.8;1062.2;2792.0
F2007080424;Y07_08;Ambohimiarina;lowland;4.0;ca;Y3;2007-12-14;N;N;0.0;37.5;0.0;17.25;44.0;182.2;1020.8;1062.2;2150.0
F2007080425;Y07_08;Ambohimiarina;lowland;10.0;ca;Y1;2007-12-17;Y;Y;0.0;50.0;0.0;23.0;91.6;71.4;1021.0;1062.2;1850.0
F2007080426;Y07_08;Ambohimiarina;lowland;6.0;ca;Y1;2007-12-17;N;N;0.0;0.0;0.0;0.0;91.6;71.4;1021.0;1062.2;1916.7
F2007080427;Y07_08;Ambohimiarina;lowland;10.0;ca;Y1;2007-12-18;Y;Y;3500.0;75.0;0.0;34.5;91.6;72.0;990.6;1062.2;3220.0
F2007080428;Y07_08;Ambohimiarina;lowland;10.0;ca;Y2;2007-12-31;Y;Y;3000.0;0.0;0.0;0.0;144.8;43.8;857.2;1062.2;2390.0
F2007080429;Y07_08;Ambohimiarina;lowland;4.0;ca;Y1;2007-12-28;Y;N;0.0;0.0;0.0;0.0;169.0;40.6;926.6;1062.2;2800.0
F2007080430;Y07_08;Ambohimiarina;lowland;6.0;ca;Y1;2007-12-31;N;N;0.0;33.3;0.0;15.318;144.8;43.8;857.2;1062.2;2554.2
F2007080431;Y07_08;Ambohimiarina;lowland;1.1;ca;Y1;2007-12-17;N;Y;5714.3;0.0;0.0;0.0;91.6;71.4;1021.0;1062.2;2761.9
F2007080432;Y07_08;Ambohimiarina;lowland;8.0;ca;Y1;2007-12-18;Y;N;0.0;62.5;100.0;39.75;91.6;72.0;990.6;1062.2;2475.0
F2007080433;Y07_08;Ambohimiarina;lowland;5.2;ca;Y1;2007-12-19;Y;N;0.0;57.4;86.0;35.864;96.0;73.4;990.6;1062.2;3785.9
F2007080434;Y07_08;Ambohimiarina;lowland;9.0;ca;Y1;2007-12-30;Y;Y;5000.0;0.0;0.0;0.0;146.4;44.0;868.8;1062.2;2588.9
F2007080435;Y07_08;Ambohimiarina;lowland;6.0;ca;Y1;2007-12-26;N;N;0.0;41.7;50.0;24.682;167.6;41.8;931.0;1062.2;2910.0
F2007080436;Y07_08;Ambohimiarina;lowland;6.0;ca;Y2;2007-12-21;N;Y;0.0;0.0;0.0;0.0;151.8;71.0;990.6;1062.2;2663.3
F2007080437;Y07_08;Ambohimiarina;lowland;5.3;ca;Y1;2007-12-29;N;N;0.0;0.0;0.0;0.0;162.6;45.0;870.8;1062.2;2171.4
F2007080438;Y07_08;Ambohimiarina;lowland;13.0;ca;Y1;2007-12-31;Y;Y;4615.4;0.0;0.0;0.0;144.8;43.8;857.2;1062.2;3006.0
F2007080439;Y07_08;Ambohimiarina;lowland;93.4;ca;Y2;2008-01-28;Y;Y;0.0;0.0;16.1;1.771;243.0;3.6;555.2;1062.2;3825.5
F2007080440;Y07_08;Ambohimiarina;lowland;8.0;ca;Y1;2007-12-28;N;Y;3750.0;0.0;0.0;0.0;169.0;40.6;926.6;1062.2;3475.0
F2007080441;Y07_08;Ambohimiarina;lowland;21.4;ca;Y1;2008-01-02;Y;N;4449.6;46.8;0.0;21.528;228.6;8.6;825.0;1062.2;3007.0
F2007080442;Y07_08;Ambohimiarina;lowland;12.5;till;Y0;2007-12-26;Y;Y;6800.0;0.0;0.0;0.0;167.6;41.8;931.0;1062.2;3984.0
F2007080445;Y07_08;Ambohimiarina;lowland;4.5;ca;Y2;2008-01-26;Y;Y;0.0;0.0;0.0;0.0;316.4;3.6;612.8;1062.2;3044.4
F2007080446;Y07_08;Ambohimiarina;lowland;10.9;ca;Y1;2007-12-31;Y;N;7373.3;36.9;0.0;16.974;144.8;43.8;857.2;1062.2;2875.6
F2007080447;Y07_08;Ambohimiarina;lowland;11.0;ca;Y2;2007-11-30;Y;Y;0.0;27.3;0.0;12.558;2.2;230.8;1013.8;1062.2;3845.5
F2007080448;Y07_08;Ambohimiarina;hillside;10.8;ca;Y2;2007-12-22;Y;N;0.0;60.1;46.2;32.728;154.0;53.8;978.6;1062.2;2911.3
F2007080449;Y07_08;Ambohimiarina;lowland;5.0;till;Y0;2007-12-24;N;Y;0.0;60.0;0.0;27.6;198.2;43.4;934.2;1062.2;3560.0
F2007080450;Y07_08;Ambohimiarina;lowland;13.0;ca;Y1;2007-12-31;N;N;0.0;0.0;0.0;0.0;144.8;43.8;857.2;1062.2;2334.6
F2007080451;Y07_08;Ambohimiarina;lowland;10.0;till;Y0;2007-12-28;Y;N;5000.0;0.0;0.0;0.0;169.0;40.6;926.6;1062.2;1740.0
F2007080452;Y07_08;Ambohimiarina;lowland;6.5;till;Y0;2007-12-28;N;Y;0.0;61.5;0.0;28.29;169.0;40.6;926.6;1062.2;3000.0
F2007080453;Y07_08;Ambohimiarina;lowland;20.0;ca;Y2;2007-12-22;N;Y;0.0;0.0;0.0;0.0;154.0;53.8;978.6;1062.2;2920.0
F2007080454;Y07_08;Ambohimiarina;lowland;12.9;till;Y0;2007-12-17;Y;Y;0.0;0.0;0.0;0.0;91.6;71.4;1021.0;1062.2;2692.6
F2007080455;Y07_08;Ambohimiarina;lowland;20.5;ca;Y1;2007-11-21;Y;Y;0.0;0.0;0.0;0.0;13.0;244.4;1013.0;1062.2;2068.5
F2007080456;Y07_08;Ambohimiarina;lowland;7.0;till;Y0;2007-12-22;N;N;0.0;50.0;0.0;23.0;154.0;53.8;978.6;1062.2;1278.6
F2007080457;Y07_08;Ambohimiarina;lowland;13.0;ca;Y1;2008-01-02;Y;Y;0.0;0.0;46.2;5.082;228.6;8.6;825.0;1062.2;2423.1
F2007080458;Y07_08;Ambohimiarina;lowland;13.0;ca;Y1;2007-12-26;Y;Y;0.0;38.5;70.0;25.41;167.6;41.8;931.0;1062.2;2460.0
F2007080459;Y07_08;Ambohimiarina;lowland;17.3;ca;Y1;2007-12-17;N;N;0.0;58.0;115.9;39.429;91.6;71.4;1021.0;1062.2;2626.1
F2007080460;Y07_08;Ambohimiarina;lowland;4.3;ca;Y1;2007-12-26;N;Y;0.0;47.1;0.0;21.666;167.6;41.8;931.0;1062.2;2022.4
F2007080461;Y07_08;Ambohimiarina;lowland;4.5;ca;Y1;2008-01-12;N;N;0.0;0.0;0.0;0.0;195.2;11.2;705.4;1062.2;825.6
F2007080463;Y07_08;Ambohimiarina;lowland;10.3;ca;Y1;2007-12-18;N;Y;4360.5;87.2;0.0;40.112;91.6;72.0;990.6;1062.2;2790.7
F2007080464;Y07_08;Ambohimiarina;lowland;7.1;till;Y0;2007-12-29;N;N;4207.6;42.1;0.0;19.366;162.6;45.0;870.8;1062.2;2454.4
F2007080465;Y07_08;Ambohimiarina;lowland;32.0;ca;Y1;2007-12-29;Y;Y;4375.0;26.6;0.0;12.236;162.6;45.0;870.8;1062.2;2209.8
F2007080466;Y07_08;Ambohimiarina;lowland;6.8;ca;Y1;2007-12-22;Y;N;0.0;59.3;0.0;27.278;154.0;53.8;978.6;1062.2;2785.2
F2007080467;Y07_08;Ambohimiarina;lowland;10.4;ca;Y2;2007-12-19;Y;N;0.0;0.0;0.0;0.0;96.0;73.4;990.6;1062.2;2512.1
F2007080468;Y07_08;Ambohimiarina;lowland;3.5;ca;Y1;2007-12-29;N;N;0.0;0.0;0.0;0.0;162.6;45.0;870.8;1062.2;2442.9
F2007080469;Y07_08;Ambohimiarina;lowland;15.0;ca;Y1;2007-12-17;Y;Y;0.0;46.7;0.0;21.482;91.6;71.4;1021.0;1062.2;2920.0
F2007080470;Y07_08;Ambohimiarina;lowland;15.0;ca;Y1;2007-12-21;Y;N;3666.7;40.0;0.0;18.4;151.8;71.0;990.6;1062.2;2966.7
F2007080471;Y07_08;Ambohimiarina;lowland;4.0;ca;Y1;2007-12-21;N;N;0.0;62.5;0.0;28.75;151.8;71.0;990.6;1062.2;3000.0
F2007080473;Y07_08;Ambohimiarina;lowland;7.0;ca;Y1;2007-12-26;Y;N;0.0;0.0;0.0;0.0;167.6;41.8;931.0;1062.2;2721.4
F2007080474;Y07_08;Ambohimiarina;lowland;20.0;ca;Y2;2007-12-29;Y;N;0.0;0.0;0.0;0.0;162.6;45.0;870.8;1062.2;2100.0
F2007080475;Y07_08;Ambohimiarina;lowland;7.0;ca;Y1;2007-12-29;N;N;0.0;0.0;0.0;0.0;162.6;45.0;870.8;1062.2;1300.0
F2007080476;Y07_08;Ambohimiarina;lowland;2.5;ca;Y1;2007-12-26;N;N;4000.0;40.0;0.0;18.4;167.6;41.8;931.0;1062.2;2320.0
F2007080477;Y07_08;Ambohimiarina;lowland;3.0;ca;Y1;2007-12-28;N;Y;3333.3;33.3;0.0;15.318;169.0;40.6;926.6;1062.2;3048.3
F2007080478;Y07_08;Ambohimiarina;lowland;10.0;ca;Y1;2007-12-19;Y;N;0.0;0.0;0.0;0.0;96.0;73.4;990.6;1062.2;2330.0
F2007080479;Y07_08;Ambohimiarina;lowland;16.0;ca;Y1;2007-12-22;N;N;0.0;37.5;0.0;17.25;154.0;53.8;978.6;1062.2;1465.6
F2007080480;Y07_08;Ambohimiarina;lowland;4.0;ca;Y1;2007-12-30;N;N;3750.0;0.0;0.0;0.0;146.4;44.0;868.8;1062.2;2800.0
F2007080481;Y07_08;Ambohimiarina;lowland;5.0;ca;Y1;2007-12-22;N;N;0.0;40.0;40.0;22.8;154.0;53.8;978.6;1062.2;3540.0
F2007080482;Y07_08;Ambohimiarina;lowland;4.0;ca;Y1;2007-12-29;N;Y;2000.0;0.0;50.0;5.5;162.6;45.0;870.8;1062.2;2312.5
F2007080483;Y07_08;Ambohimiarina;lowland;10.0;till;Y0;2007-12-24;Y;Y;0.0;40.0;0.0;18.4;198.2;43.4;934.2;1062.2;2460.0
F2007080484;Y07_08;Ambohimiarina;lowland;4.2;ca;Y2;2007-12-25;N;Y;0.0;0.0;0.0;0.0;167.6;41.4;931.0;1062.2;3119.0
F2007080485;Y07_08;Ambohimiarina;lowland;11.5;ca;Y3;2007-12-29;Y;Y;3043.5;43.5;0.0;20.01;162.6;45.0;870.8;1062.2;920.0
F2007080486;Y07_08;Ambohimiarina;lowland;16.5;ca;Y2;2007-12-18;Y;Y;0.0;48.5;0.0;22.31;91.6;72.0;990.6;1062.2;2806.1
F2007080487;Y07_08;Ambohimiarina;lowland;10.0;ca;Y2;2007-12-10;Y;N;0.0;40.0;0.0;18.4;31.0;245.4;1018.2;1062.2;2680.0
F2007080489;Y07_08;Ambohimiarina;lowland;9.3;ca;Y3;2007-12-10;N;N;7027.0;0.0;0.0;0.0;31.0;245.4;1018.2;1062.2;2573.0
F2007080490;Y07_08;Ambohimiarina;lowland;7.0;ca;Y3;2007-12-10;N;N;7142.9;0.0;0.0;0.0;31.0;245.4;1018.2;1062.2;3000.0
F2007080491;Y07_08;Ambohimiarina;lowland;4.7;ca;Y2;2007-12-19;N;N;5319.1;53.2;0.0;24.472;96.0;73.4;990.6;1062.2;2787.2
F2007080492;Y07_08;Ambohimiarina;lowland;23.8;ca;Y2;2007-12-24;Y;Y;3578.9;63.2;84.2;38.334;198.2;43.4;934.2;1062.2;3322.1
F2007080493;Y07_08;Ambohimiarina;lowland;9.6;till;Y0;2007-12-21;N;Y;4687.5;0.0;0.0;0.0;151.8;71.0;990.6;1062.2;2895.8
F2007080494;Y07_08;Ambohimiarina;lowland;13.0;ca;Y1;2007-12-31;Y;Y;0.0;38.5;0.0;17.71;144.8;43.8;857.2;1062.2;2450.0
F2007080495;Y07_08;Ambohimiarina;lowland;7.7;ca;Y1;2007-12-22;Y;Y;3876.0;0.0;0.0;0.0;154.0;53.8;978.6;1062.2;2480.6
F2007080496;Y07_08;Ambohimiarina;lowland;5.8;ca;Y1;2007-12-23;Y;N;4317.8;0.0;0.0;0.0;165.6;53.8;962.4;1062.2;3005.2
F2007080497;Y07_08;Ambohimiarina;lowland;17.0;ca;Y1;2007-12-22;Y;N;0.0;0.0;0.0;0.0;154.0;53.8;978.6;1062.2;2523.5
F2007080498;Y07_08;Ambohimiarina;lowland;5.0;ca;Y3;2007-12-21;Y;N;4000.0;0.0;0.0;0.0;151.8;71.0;990.6;1062.2;2886.0
F2007080499;Y07_08;Ambohimiarina;lowland;5.0;ca;Y1;2007-12-29;N;N;0.0;0.0;0.0;0.0;162.6;45.0;870.8;1062.2;2774.0
F2007080500;Y07_08;Ambohimiarina;lowland;6.4;till;Y0;2007-12-24;N;N;2343.8;46.9;0.0;21.574;198.2;43.4;934.2;1062.2;2484.4
F2007080501;Y07_08;Ambohimiarina;lowland;1.0;ca;Y1;2007-12-21;N;N;0.0;0.0;0.0;0.0;151.8;71.0;990.6;1062.2;2915.0
F2007080502;Y07_08;Ambohimiarina;lowland;5.0;ca;Y1;2007-12-10;Y;N;4000.0;0.0;0.0;0.0;31.0;245.4;1018.2;1062.2;1665.0
F2007080503;Y07_08;Ambohimiarina;lowland;9.0;ca;Y1;2007-11-30;Y;Y;0.0;55.6;0.0;25.576;2.2;230.8;1013.8;1062.2;3000.0
F2007080504;Y07_08;Ambohimiarina;lowland;5.0;ca;Y1;2007-12-24;Y;Y;4000.0;60.0;0.0;27.6;198.2;43.4;934.2;1062.2;2680.0
F2007080505;Y07_08;Ambohimiarina;lowland;5.0;ca;Y2;2007-12-23;N;Y;0.0;40.0;0.0;18.4;165.6;53.8;962.4;1062.2;3180.0
F2007080506;Y07_08;Ambohimiarina;lowland;10.0;ca;Y1;2007-12-22;Y;N;4000.0;0.0;0.0;0.0;154.0;53.8;978.6;1062.2;3020.0
F2007080508;Y07_08;Ambohimiarina;lowland;5.0;ca;Y1;2007-12-03;N;Y;0.0;70.0;0.0;32.2;2.2;281.2;1017.8;1062.2;2820.0
F2007080509;Y07_08;Ambohimiarina;lowland;16.0;ca;Y3;2007-11-10;N;N;0.0;0.0;0.0;0.0;0.2;189.6;1020.8;1062.2;3093.8
F2007080510;Y07_08;Ambohimiarina;lowland;6.3;ca;Y3;2007-12-17;N;Y;3174.6;0.0;0.0;0.0;91.6;71.4;1021.0;1062.2;2015.9
F2007080512;Y07_08;Ambohimiarina;lowland;7.0;ca;Y1;2007-12-03;Y;N;0.0;71.4;0.0;32.844;2.2;281.2;1017.8;1062.2;2921.4
F2007080513;Y07_08;Ambohimiarina;lowland;3.4;ca;Y1;2007-12-18;Y;Y;4360.5;0.0;0.0;0.0;91.6;72.0;990.6;1062.2;3575.6
F2007080514;Y07_08;Ambohimiarina;lowland;3.4;ca;Y1;2007-12-19;N;N;2967.4;0.0;0.0;0.0;96.0;73.4;990.6;1062.2;2255.2
F2007080515;Y07_08;Ambohimiarina;lowland;25.0;ca;Y3;2007-12-29;N;N;0.0;0.0;0.0;0.0;162.6;45.0;870.8;1062.2;3230.0
F2007080516;Y07_08;Ambohimiarina;lowland;8.6;ca;Y1;2007-11-24;N;N;8000.0;0.0;0.0;0.0;14.8;244.4;1013.2;1062.2;4259.3
F2007080517;Y07_08;Ambohimiarina;lowland;17.0;ca;Y1;2007-11-30;Y;Y;0.0;47.1;58.8;28.134;2.2;230.8;1013.8;1062.2;3447.1
